{'statesScanned': 57726, 'win?': 0, 'timeTaken': '0:00:14.781000', 'score': 2172, 'startTime': '2016-11-24 17:45:58', 'maxTile': 1024, 'moves': 1000}
{'statesScanned': 39430, 'win?': 0, 'timeTaken': '0:00:10.505000', 'score': 1466, 'startTime': '2016-11-24 17:46:14', 'maxTile': 512, 'moves': 654}
{'statesScanned': 61507, 'win?': 0, 'timeTaken': '0:00:15.481000', 'score': 2188, 'startTime': '2016-11-24 17:46:25', 'maxTile': 1024, 'moves': 991}
{'statesScanned': 47295, 'win?': 0, 'timeTaken': '0:00:12.211000', 'score': 1664, 'startTime': '2016-11-24 17:46:42', 'maxTile': 1024, 'moves': 763}
{'statesScanned': 60087, 'win?': 0, 'timeTaken': '0:00:15.777000', 'score': 2216, 'startTime': '2016-11-24 17:46:55', 'maxTile': 1024, 'moves': 1002}
{'statesScanned': 29787, 'win?': 0, 'timeTaken': '0:00:07.889000', 'score': 974, 'startTime': '2016-11-24 17:47:12', 'maxTile': 512, 'moves': 443}
{'statesScanned': 32126, 'win?': 0, 'timeTaken': '0:00:08.742000', 'score': 1212, 'startTime': '2016-11-24 17:47:21', 'maxTile': 512, 'moves': 554}
{'statesScanned': 59329, 'win?': 0, 'timeTaken': '0:00:14.927000', 'score': 2132, 'startTime': '2016-11-24 17:47:31', 'maxTile': 1024, 'moves': 970}
{'statesScanned': 62464, 'win?': 0, 'timeTaken': '0:00:16.588000', 'score': 2454, 'startTime': '2016-11-24 17:47:47', 'maxTile': 1024, 'moves': 1102}
{'statesScanned': 60710, 'win?': 0, 'timeTaken': '0:00:15.963000', 'score': 2240, 'startTime': '2016-11-24 17:48:04', 'maxTile': 1024, 'moves': 1022}
{'statesScanned': 56972, 'win?': 0, 'timeTaken': '0:00:14.811000', 'score': 2064, 'startTime': '2016-11-24 17:48:21', 'maxTile': 1024, 'moves': 946}
{'statesScanned': 55569, 'win?': 0, 'timeTaken': '0:00:14.676000', 'score': 2156, 'startTime': '2016-11-24 17:48:37', 'maxTile': 1024, 'moves': 967}
{'statesScanned': 64066, 'win?': 0, 'timeTaken': '0:00:16.711000', 'score': 2482, 'startTime': '2016-11-24 17:48:53', 'maxTile': 1024, 'moves': 1125}
{'statesScanned': 36277, 'win?': 0, 'timeTaken': '0:00:09.463000', 'score': 1258, 'startTime': '2016-11-24 17:49:10', 'maxTile': 512, 'moves': 571}
{'statesScanned': 38567, 'win?': 0, 'timeTaken': '0:00:10.389000', 'score': 1472, 'startTime': '2016-11-24 17:49:21', 'maxTile': 512, 'moves': 663}
{'statesScanned': 59097, 'win?': 1, 'timeTaken': '0:00:14.195000', 'score': 2150, 'startTime': '2016-11-24 17:49:32', 'maxTile': 2048, 'moves': 969}
{'statesScanned': 30096, 'win?': 0, 'timeTaken': '0:00:07.919000', 'score': 1014, 'startTime': '2016-11-24 17:49:47', 'maxTile': 512, 'moves': 451}
{'statesScanned': 45471, 'win?': 0, 'timeTaken': '0:00:11.936000', 'score': 1760, 'startTime': '2016-11-24 17:49:55', 'maxTile': 1024, 'moves': 785}
{'statesScanned': 56584, 'win?': 0, 'timeTaken': '0:00:14.526000', 'score': 2124, 'startTime': '2016-11-24 17:50:08', 'maxTile': 1024, 'moves': 969}
{'statesScanned': 41534, 'win?': 0, 'timeTaken': '0:00:10.466000', 'score': 1378, 'startTime': '2016-11-24 17:50:24', 'maxTile': 512, 'moves': 631}
{'statesScanned': 46538, 'win?': 0, 'timeTaken': '0:00:11.878000', 'score': 1644, 'startTime': '2016-11-24 17:50:35', 'maxTile': 1024, 'moves': 744}
{'statesScanned': 37524, 'win?': 0, 'timeTaken': '0:00:09.754000', 'score': 1354, 'startTime': '2016-11-24 17:50:48', 'maxTile': 512, 'moves': 610}
{'statesScanned': 30321, 'win?': 0, 'timeTaken': '0:00:07.619000', 'score': 910, 'startTime': '2016-11-24 17:50:59', 'maxTile': 512, 'moves': 409}
{'statesScanned': 56177, 'win?': 0, 'timeTaken': '0:00:14.281000', 'score': 2056, 'startTime': '2016-11-24 17:51:08', 'maxTile': 1024, 'moves': 926}
{'statesScanned': 60157, 'win?': 1, 'timeTaken': '0:00:14.070000', 'score': 2114, 'startTime': '2016-11-24 17:51:23', 'maxTile': 2048, 'moves': 972}
{'statesScanned': 33939, 'win?': 0, 'timeTaken': '0:00:09.149000', 'score': 1208, 'startTime': '2016-11-24 17:51:37', 'maxTile': 512, 'moves': 550}
{'statesScanned': 60228, 'win?': 0, 'timeTaken': '0:00:15.182000', 'score': 2122, 'startTime': '2016-11-24 17:51:47', 'maxTile': 1024, 'moves': 982}
{'statesScanned': 35263, 'win?': 0, 'timeTaken': '0:00:09.112000', 'score': 1166, 'startTime': '2016-11-24 17:52:03', 'maxTile': 512, 'moves': 537}
{'statesScanned': 32761, 'win?': 0, 'timeTaken': '0:00:08.841000', 'score': 1134, 'startTime': '2016-11-24 17:52:14', 'maxTile': 512, 'moves': 514}
{'statesScanned': 31608, 'win?': 0, 'timeTaken': '0:00:08.854000', 'score': 1156, 'startTime': '2016-11-24 17:52:23', 'maxTile': 512, 'moves': 531}
{'statesScanned': 31623, 'win?': 0, 'timeTaken': '0:00:08.854000', 'score': 1186, 'startTime': '2016-11-24 17:52:33', 'maxTile': 512, 'moves': 538}
{'statesScanned': 55190, 'win?': 0, 'timeTaken': '0:00:15.165000', 'score': 2240, 'startTime': '2016-11-24 17:52:43', 'maxTile': 1024, 'moves': 997}
