{'statesScanned': 59798, 'win?': 0, 'timeTaken': '0:00:14.389000', 'score': 2186, 'startTime': '2016-11-24 22:09:39', 'maxTile': 1024, 'moves': 992}
{'statesScanned': 27486, 'win?': 0, 'timeTaken': '0:00:06.834000', 'score': 898, 'startTime': '2016-11-24 22:09:55', 'maxTile': 512, 'moves': 399}
{'statesScanned': 20967, 'win?': 0, 'timeTaken': '0:00:05.524000', 'score': 698, 'startTime': '2016-11-24 22:10:02', 'maxTile': 256, 'moves': 315}
{'statesScanned': 52294, 'win?': 0, 'timeTaken': '0:00:12.726000', 'score': 1944, 'startTime': '2016-11-24 22:10:09', 'maxTile': 1024, 'moves': 880}
{'statesScanned': 32427, 'win?': 0, 'timeTaken': '0:00:07.786000', 'score': 1094, 'startTime': '2016-11-24 22:10:23', 'maxTile': 512, 'moves': 489}
{'statesScanned': 32817, 'win?': 0, 'timeTaken': '0:00:07.768000', 'score': 1104, 'startTime': '2016-11-24 22:10:32', 'maxTile': 512, 'moves': 496}
{'statesScanned': 97530, 'win?': 1, 'timeTaken': '0:00:22.075000', 'score': 3594, 'startTime': '2016-11-24 22:10:40', 'maxTile': 2048, 'moves': 1659}
{'statesScanned': 32708, 'win?': 0, 'timeTaken': '0:00:07.865000', 'score': 1162, 'startTime': '2016-11-24 22:11:03', 'maxTile': 512, 'moves': 524}
{'statesScanned': 18403, 'win?': 0, 'timeTaken': '0:00:04.701000', 'score': 552, 'startTime': '2016-11-24 22:11:12', 'maxTile': 256, 'moves': 257}
{'statesScanned': 84128, 'win?': 1, 'timeTaken': '0:00:19.524000', 'score': 3304, 'startTime': '2016-11-24 22:11:18', 'maxTile': 2048, 'moves': 1482}
{'statesScanned': 27999, 'win?': 0, 'timeTaken': '0:00:06.809000', 'score': 910, 'startTime': '2016-11-24 22:11:38', 'maxTile': 512, 'moves': 415}
{'statesScanned': 21463, 'win?': 0, 'timeTaken': '0:00:05.507000', 'score': 724, 'startTime': '2016-11-24 22:11:46', 'maxTile': 512, 'moves': 329}
{'statesScanned': 47304, 'win?': 0, 'timeTaken': '0:00:11.126000', 'score': 1698, 'startTime': '2016-11-24 22:11:53', 'maxTile': 1024, 'moves': 768}
{'statesScanned': 23203, 'win?': 0, 'timeTaken': '0:00:05.802000', 'score': 776, 'startTime': '2016-11-24 22:12:05', 'maxTile': 256, 'moves': 350}
{'statesScanned': 26504, 'win?': 0, 'timeTaken': '0:00:06.735000', 'score': 882, 'startTime': '2016-11-24 22:12:12', 'maxTile': 512, 'moves': 396}
{'statesScanned': 77867, 'win?': 1, 'timeTaken': '0:00:19.711000', 'score': 2946, 'startTime': '2016-11-24 22:12:19', 'maxTile': 2048, 'moves': 1330}
{'statesScanned': 60010, 'win?': 0, 'timeTaken': '0:00:15.486000', 'score': 2296, 'startTime': '2016-11-24 22:12:40', 'maxTile': 1024, 'moves': 1043}
{'statesScanned': 58146, 'win?': 0, 'timeTaken': '0:00:15.178000', 'score': 2222, 'startTime': '2016-11-24 22:12:57', 'maxTile': 1024, 'moves': 1014}
{'statesScanned': 58141, 'win?': 0, 'timeTaken': '0:00:14.357000', 'score': 2140, 'startTime': '2016-11-24 22:13:13', 'maxTile': 1024, 'moves': 962}
{'statesScanned': 37624, 'win?': 0, 'timeTaken': '0:00:09.595000', 'score': 1320, 'startTime': '2016-11-24 22:13:28', 'maxTile': 512, 'moves': 610}
{'statesScanned': 75294, 'win?': 1, 'timeTaken': '0:00:18.827000', 'score': 2922, 'startTime': '2016-11-24 22:13:39', 'maxTile': 2048, 'moves': 1311}
{'statesScanned': 38447, 'win?': 0, 'timeTaken': '0:00:09.982000', 'score': 1450, 'startTime': '2016-11-24 22:13:59', 'maxTile': 1024, 'moves': 652}
{'statesScanned': 40992, 'win?': 0, 'timeTaken': '0:00:10.441000', 'score': 1464, 'startTime': '2016-11-24 22:14:10', 'maxTile': 512, 'moves': 670}
{'statesScanned': 46219, 'win?': 0, 'timeTaken': '0:00:11.706000', 'score': 1762, 'startTime': '2016-11-24 22:14:21', 'maxTile': 1024, 'moves': 797}
{'statesScanned': 30310, 'win?': 0, 'timeTaken': '0:00:08.060000', 'score': 1032, 'startTime': '2016-11-24 22:14:34', 'maxTile': 512, 'moves': 475}
{'statesScanned': 46546, 'win?': 0, 'timeTaken': '0:00:11.915000', 'score': 1602, 'startTime': '2016-11-24 22:14:43', 'maxTile': 1024, 'moves': 737}
{'statesScanned': 90580, 'win?': 1, 'timeTaken': '0:00:21.996000', 'score': 3274, 'startTime': '2016-11-24 22:14:56', 'maxTile': 2048, 'moves': 1501}
{'statesScanned': 64624, 'win?': 0, 'timeTaken': '0:00:16.204000', 'score': 2348, 'startTime': '2016-11-24 22:15:19', 'maxTile': 1024, 'moves': 1071}
{'statesScanned': 33822, 'win?': 0, 'timeTaken': '0:00:08.636000', 'score': 1164, 'startTime': '2016-11-24 22:15:36', 'maxTile': 512, 'moves': 533}
{'statesScanned': 40776, 'win?': 0, 'timeTaken': '0:00:10.520000', 'score': 1486, 'startTime': '2016-11-24 22:15:46', 'maxTile': 1024, 'moves': 678}
{'statesScanned': 57566, 'win?': 0, 'timeTaken': '0:00:14.699000', 'score': 2172, 'startTime': '2016-11-24 22:15:57', 'maxTile': 1024, 'moves': 983}
{'statesScanned': 22393, 'win?': 0, 'timeTaken': '0:00:05.891000', 'score': 712, 'startTime': '2016-11-24 22:16:13', 'maxTile': 256, 'moves': 313}
{'statesScanned': 26120, 'win?': 0, 'timeTaken': '0:00:07.043000', 'score': 972, 'startTime': '2016-11-24 22:16:20', 'maxTile': 512, 'moves': 447}
{'statesScanned': 52493, 'win?': 0, 'timeTaken': '0:00:13.113000', 'score': 1922, 'startTime': '2016-11-24 22:16:28', 'maxTile': 1024, 'moves': 868}
